name, version, author, source, download
Essential Texture Pack, 1.1.0, 7Bpencil, https://github.com/7Bpencil/SPT.WeaponCamoAndStickers.EssentialTexturePack, https://github.com/7Bpencil/SPT.WeaponCamoAndStickers.EssentialTexturePack/releases/download/v1.1.0/7Bpencil.WeaponCamoAndStickers.EssentialTexturePack.v1.1.0.zip
EMR Texture Pack, 1.0.2, FiveF, https://github.com/FiveFme/SPT.Addon-EMR-Camouflage, https://github.com/FiveFme/SPT.Addon-EMR-Camouflage/releases/download/v1.0.2/FiveF-EMR-Camouflage-1.0.2.zip
Utanu's Tarkov Texture Pack, 0.5.0, utanumaner, https://github.com/UtanuManer/00---Utanu-s-Texture-Pack, https://github.com/UtanuManer/00---Utanu-s-Texture-Pack/releases/download/0.5.0/Utanu_TarkovTexturePack_v0.5.0.zip
"Camos, Misc & Markers", 1.1.0, bugs, https://github.com/3k4orin/misc-and-markers/, https://github.com/3k4orin/misc-and-markers/releases/download/1.1/camos.misc.and.markers.1.1.zip
Simple Stickers Addon, 1.0.0, The_Kniper, https://github.com/TheKniper/SPT-STUFF/releases/tag/first, https://github.com/user-attachments/files/26562449/Simple_Stickers.zip
Arabic stickers , 1.0.0, CMDR_Tank, https://github.com/CmdrTank/Arabic-stickers-.git, https://github.com/CmdrTank/Arabic-stickers/releases/download/1.0.0/Arabic-stickers-main.3.zip
Spirit's Embroidery, 1.0.6, spiritsthroughyou, https://github.com/spiritsthroughyou/SPT-Shit/releases, https://github.com/spiritsthroughyou/SPT-Shit/releases/download/1.0.6/SpiritsPatches1.0.6.7z
Champions Of Light ancient runes and other stuff, 1.2.0, WitchBlade, https://github.com/Opeshek/ChampionsOfLight-Bunch-of-Runes, https://github.com/Opeshek/ChampionsOfLight-Bunch-of-Runes/releases/download/SHOWMETHECHAMPIONOFLIGHT/ChampionsBunchOfStuff.7z
S.T.A.L.K.E.R Factions patch, 1.0.0, CMDR_Tank, https://github.com/CmdrTank/Factions_Patch.git, https://github.com/CmdrTank/Factions_Patch/releases/download/1.0.0/Factions_Patch-main.1.zip
military ranks, 1.0.0, CMDR_Tank, https://github.com/CmdrTank/military-ranks.git, https://github.com/CmdrTank/military-ranks/releases/download/1.0.0/military.ranks.7z
Azukata's Anime Assortment, 1.1.0, Azukata, https://github.com/Azukata/Anime-Assortment/tree/main, https://github.com/Azukata/Anime-Assortment/releases/download/v1.1/AzukatasAnimeAssortmentV1.1.0.7z
COD camos, 1.0.3, papanoskill, https://github.com/noskillant/Cod-Camos-SPT/releases/tag/Main, https://github.com/noskillant/Cod-Camos-SPT/releases/download/update_2/BepInEx.zip
WT Camo and Stickers, 1.0.0, Redmisty, https://github.com/Redmistyyy/eXe-CamoAndStickers, https://github.com/Redmistyyy/eXe-CamoAndStickers/releases/download/V1.0.0/CamoStickersforWT.zip
Daebom Stickers Addon, 1.0.0, Doc Frek, https://github.com/DocFrek/Daebom-Sticker-for-SPT, https://github.com/DocFrek/Daebom-Sticker-for-SPT/releases/download/Release/DaebomStickersAddon_v1.0.0.zip
Hired Ops Camouflage Paints Collection, 1.0.0, Goodnigth, https://drive.google.com/file/d/1SUhZUgvjiXogIn_a48QWnZRyrIZm3sdh/view?usp=sharing, https://drive.usercontent.google.com/download?id=1SUhZUgvjiXogIn_a48QWnZRyrIZm3sdh&export=download&authuser=0&confirm=t&uuid=0d5d63db-ee6c-47d3-ab1a-a55a0a566522&at=ALBwUgnKVIY0rbB621aWfCd0TsZ5:1778078712696
Anime & LARP Camo Presets, 1.3.0, Bandoot, https://github.com/Bandoott/Anime-LARP-camo-presets, https://github.com/Bandoott/Anime-LARP-camo-presets/releases/download/v1.3.0/Anime.LARP.camo.presets.1.3.0.zip
Girls' Frontline Sticker, 1.0.1, Rein-K, https://github.com/R-Klukai/GFL2-Stickers, https://github.com/R-Klukai/GFL2-Stickers/releases/download/GFL2-Sticker/GFL.Tarkov.Sticker.7z
Black Ops 3 Base and Cut Camos, 1.0.0, nkstuf, https://github.com/Nkstuf/SPT-Stuff, https://github.com/Nkstuf/SPT-Stuff/releases/download/1.0.0/BO3CamoPack.7z
Pride Flag Sticker Pack, 1.0.0, InstinctST, https://github.com/instincthr/SPT-CaC-PrideStickerPack, https://github.com/instincthr/SPT-CaC-PrideStickerPack/releases/download/release/Pridestuff.zip
Dead By Daylight Stickers, 1.0.1, Bandoot, https://github.com/Bandoott/DBD-Sticker-Pack, https://github.com/Bandoott/DBD-Sticker-Pack/releases/download/v1.0.1/Dead.By.Daylight.Stickers.zip
CAG Scribbles!, 1.2.0, Clacker, https://github.com/ClackerBarrel/CAG-Scribbles-and-Markings/releases/tag/v.1.0.0, https://github.com/ClackerBarrel/CAG-Scribbles-and-Markings/releases/download/v.1.2.0/CAGScribbles.7z
Rattle Can Camos, 1.0.5, SligarTheTiger, https://github.com/SligarTheTiger/rattle-can-camos, https://github.com/SligarTheTiger/rattle-can-camos/releases/download/1.0.5/RattleCanCamos-1.0.5.zip
counter strike sticker pack, 1.0.0, BayouBill, https://github.com/Bill454545/csstickerpack, https://github.com/Bill454545/csstickerpack/raw/refs/heads/main/cs2stickers.zip
Doc's Weapon Skin Collection, 1.0.1, Doc Frek, https://github.com/DocFrek/Doc-s-Weapon-Skin-Collection, https://github.com/DocFrek/Doc-s-Weapon-Skin-Collection/releases/download/Fix_1/Doc-s-Weapon-Skin-Collection.zip
KriegsStickers, 1.1.1, Krieger01, https://github.com/Krieger1209/KriegersStickerAddon, https://github.com/Krieger1209/KriegersStickerAddon/releases/download/AddedSCP/KriegsStickers11.7z
Lielle's Anime Stickers and Presets, 1.0.0, Lielle, https://github.com/LielleGraves/LiellesAnimeStickersandPresets, https://github.com/LielleGraves/LiellesAnimeStickersandPresets/releases/download/Main/LielleStuff.zip
